@relation 'student-merged-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,12-weka.filters.unsupervised.attribute.Discretize-D-F-B2-M-1.0-R32-precision6-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,30-weka.filters.unsupervised.instance.RemoveRange-V-R1-395-weka.filters.unsupervised.instance.RemoveRange-V-R1-200'

@attribute school {GP,MS}
@attribute sex {F,M}
@attribute age numeric
@attribute address {U,R}
@attribute famsize {GT3,LE3}
@attribute Pstatus {A,T}
@attribute Medu numeric
@attribute Fedu numeric
@attribute Mjob {at_home,health,other,services,teacher}
@attribute Fjob {teacher,other,services,health,at_home}
@attribute reason {course,other,home,reputation}
@attribute traveltime numeric
@attribute studytime numeric
@attribute failures numeric
@attribute schoolsup {yes,no}
@attribute famsup {no,yes}
@attribute paid {no,yes}
@attribute activities {no,yes}
@attribute nursery {yes,no}
@attribute higher {yes,no}
@attribute internet {no,yes}
@attribute romantic {no,yes}
@attribute famrel numeric
@attribute freetime numeric
@attribute goout numeric
@attribute Dalc numeric
@attribute Walc numeric
@attribute health numeric
@attribute absences numeric
@attribute guardian {mother,father,other}
@attribute G3_1 {'\'(-inf-11.5]\'','\'(11.5-inf)\''}

@data
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,mother,'\'(-inf-11.5]\''
GP,F,17,U,GT3,T,1,1,at_home,other,course,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,father,'\'(-inf-11.5]\''
GP,F,15,U,LE3,T,1,1,at_home,other,other,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,mother,'\'(-inf-11.5]\''
GP,F,15,U,GT3,T,4,2,health,services,home,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,mother,'\'(11.5-inf)\''
GP,F,16,U,GT3,T,3,3,other,other,home,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,father,'\'(-inf-11.5]\''
GP,M,16,U,LE3,T,4,3,services,other,reputation,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,mother,'\'(11.5-inf)\''
GP,M,16,U,LE3,T,2,2,other,other,home,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,mother,'\'(-inf-11.5]\''
GP,F,17,U,GT3,A,4,4,other,teacher,home,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,mother,'\'(-inf-11.5]\''
GP,M,15,U,LE3,A,3,2,services,other,home,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,mother,'\'(11.5-inf)\''
GP,M,15,U,GT3,T,3,4,other,other,home,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,mother,'\'(11.5-inf)\''
